Channel 1,Channel 2,Channel 3,Channel 4,Classification
15.13671875,-13.671875,-18.5546875,10.25390625,1
20.5078125,-21.97265625,20.99609375,23.4375,0
36.1328125,-32.71484375,33.69140625,26.3671875,0
18.06640625,-2.44140625,20.99609375,9.27734375,0
11.71875,43.45703125,10.7421875,20.01953125,0
36.1328125,49.31640625,41.50390625,35.64453125,0
47.8515625,20.5078125,43.9453125,32.2265625,0
30.76171875,10.25390625,35.64453125,24.90234375,0
18.06640625,0.9765625,23.92578125,30.76171875,0
21.97265625,9.765625,23.92578125,28.80859375,0
24.4140625,21.97265625,46.38671875,34.1796875,0
16.11328125,27.83203125,34.66796875,41.50390625,0
16.11328125,35.15625,2.44140625,38.0859375,0
43.9453125,24.4140625,-14.16015625,59.08203125,0
37.109375,20.5078125,4.39453125,60.05859375,0
24.4140625,8.30078125,48.828125,45.41015625,0
6.34765625,12.6953125,56.15234375,36.62109375,0
5.37109375,17.08984375,53.7109375,44.921875,0
20.5078125,4.39453125,57.12890625,49.31640625,0
21.97265625,-7.32421875,45.41015625,46.875,0
-9.765625,-8.7890625,32.71484375,17.578125,0
3.41796875,-2.44140625,28.80859375,20.01953125,0
20.99609375,-17.08984375,14.6484375,36.1328125,0
10.25390625,-29.296875,23.4375,34.66796875,0
-2.44140625,-21.484375,23.92578125,20.5078125,0
-8.30078125,-13.671875,7.8125,17.578125,0
2.9296875,-8.30078125,29.296875,23.92578125,0
24.90234375,-1.46484375,46.875,16.6015625,0
30.76171875,3.41796875,42.48046875,20.01953125,0
22.94921875,-2.9296875,13.18359375,25.87890625,0
19.53125,-17.578125,11.23046875,28.3203125,0
16.6015625,-26.3671875,31.25,17.578125,0
23.92578125,-24.90234375,25.390625,19.04296875,0
-1.953125,-20.01953125,24.90234375,10.7421875,0
-0.48828125,-10.25390625,33.203125,15.625,0
15.13671875,-15.13671875,45.8984375,20.99609375,0
36.1328125,-20.01953125,36.62109375,29.78515625,0
19.04296875,-19.53125,20.5078125,17.578125,0
22.4609375,-19.04296875,32.2265625,19.04296875,0
37.59765625,-38.0859375,33.69140625,30.76171875,0
41.9921875,-39.0625,29.296875,34.66796875,0
38.0859375,-16.6015625,20.5078125,35.15625,0
13.18359375,-7.32421875,-0.48828125,27.83203125,0
15.625,-10.7421875,11.23046875,31.25,0
27.83203125,-13.671875,17.578125,45.41015625,0
