Channel 1,Channel 2,Channel 3,Channel 4,Class,CalNum
49.31640625,52.24609375,33.203125,52.734375,0,40.0
45.41015625,35.64453125,32.71484375,44.43359375,0,3.0
55.6640625,31.25,36.1328125,33.69140625,0,
54.6875,50.78125,31.73828125,43.45703125,0,
50.29296875,52.734375,23.4375,46.38671875,0,
47.8515625,8.7890625,36.62109375,45.41015625,0,
41.50390625,20.01953125,42.48046875,37.59765625,0,
49.31640625,63.4765625,36.62109375,41.9921875,0,
58.59375,62.98828125,39.55078125,54.19921875,0,
46.875,58.10546875,42.48046875,42.48046875,0,
40.0390625,54.6875,27.83203125,43.45703125,0,
45.41015625,62.98828125,15.625,40.52734375,0,
61.03515625,62.5,38.0859375,41.50390625,0,
56.640625,37.109375,44.43359375,45.41015625,0,
40.52734375,37.109375,36.62109375,39.55078125,0,
37.59765625,57.12890625,38.57421875,36.1328125,0,
36.1328125,43.45703125,32.71484375,35.64453125,0,
37.109375,21.484375,26.85546875,39.0625,0,
38.57421875,32.2265625,33.69140625,40.0390625,0,
36.62109375,51.26953125,47.8515625,42.48046875,0,
45.8984375,32.71484375,42.48046875,53.22265625,0,
48.33984375,7.32421875,41.015625,46.38671875,0,
34.1796875,59.08203125,35.15625,33.203125,0,
27.83203125,65.91796875,25.87890625,40.0390625,0,
39.0625,28.80859375,36.1328125,49.31640625,0,
46.875,40.0390625,40.0390625,49.8046875,0,
46.38671875,53.22265625,39.55078125,47.8515625,0,
35.15625,52.734375,44.921875,50.78125,0,
24.90234375,35.64453125,45.8984375,48.33984375,0,
30.76171875,13.671875,43.9453125,46.875,0,
26.3671875,28.80859375,46.38671875,49.31640625,0,
31.25,62.01171875,43.9453125,55.6640625,0,
34.66796875,14.16015625,36.62109375,39.55078125,0,
32.71484375,1.46484375,33.203125,30.76171875,0,
37.59765625,58.59375,35.15625,39.0625,0,
31.73828125,42.96875,30.2734375,34.1796875,0,
30.76171875,33.69140625,27.83203125,35.64453125,0,
40.0390625,47.8515625,39.55078125,39.55078125,0,
35.64453125,48.828125,41.015625,41.9921875,0,
39.55078125,30.2734375,37.109375,49.31640625,0,
46.875,24.90234375,39.0625,53.7109375,0,
46.38671875,37.109375,35.64453125,55.17578125,0,
44.921875,48.33984375,28.3203125,42.48046875,0,
43.9453125,41.50390625,35.15625,35.64453125,0,
33.203125,11.71875,41.015625,40.52734375,0,
37.109375,48.33984375,33.203125,41.50390625,0,
58.59375,67.3828125,28.80859375,36.1328125,0,
59.5703125,41.50390625,37.109375,29.78515625,0,
0.0,41.50390625,0.0,35.15625,0,
0.0,59.5703125,0.0,40.52734375,0,
0.0,50.29296875,0.0,52.24609375,0,
0.0,38.57421875,0.0,61.5234375,0,
0.0,40.0390625,0.0,49.31640625,0,
0.0,26.3671875,0.0,39.55078125,0,
0.0,26.3671875,0.0,42.96875,0,
0.0,14.16015625,0.0,46.38671875,0,
0.0,20.5078125,0.0,43.9453125,0,
0.0,71.2890625,0.0,36.1328125,0,
0.0,58.10546875,0.0,34.1796875,0,
0.0,45.41015625,0.0,42.96875,0,
50.78125,56.640625,37.109375,45.8984375,0,
37.109375,52.24609375,25.390625,41.50390625,0,
36.1328125,32.2265625,19.53125,40.52734375,0,
41.50390625,24.90234375,30.76171875,41.9921875,0,
50.78125,42.48046875,38.0859375,43.9453125,0,
55.6640625,49.31640625,36.1328125,47.8515625,0,
43.45703125,27.34375,29.78515625,46.38671875,0,
38.0859375,8.7890625,25.390625,29.296875,0,
38.0859375,53.22265625,29.78515625,27.83203125,0,
34.66796875,80.078125,34.1796875,44.921875,0,
39.0625,47.8515625,25.390625,51.7578125,0,
53.7109375,46.875,26.85546875,52.24609375,0,
45.8984375,65.4296875,33.203125,48.33984375,0,
37.59765625,55.17578125,40.0390625,50.29296875,0,
39.0625,41.015625,47.36328125,49.31640625,0,
41.9921875,42.96875,44.43359375,38.0859375,0,
51.7578125,44.921875,36.62109375,48.33984375,0,
59.08203125,43.9453125,36.62109375,58.10546875,0,
46.38671875,15.625,38.57421875,43.45703125,0,
42.96875,22.94921875,36.62109375,36.62109375,0,
41.50390625,69.3359375,36.1328125,38.57421875,0,
40.0390625,57.12890625,31.25,44.43359375,0,
46.875,47.36328125,32.2265625,50.78125,0,
42.96875,51.26953125,37.59765625,45.41015625,0,
43.9453125,58.10546875,34.1796875,51.7578125,0,
38.0859375,49.8046875,27.34375,56.640625,0,
23.92578125,35.15625,20.99609375,43.9453125,0,
20.99609375,42.96875,25.390625,33.69140625,0,
26.3671875,47.36328125,23.92578125,41.015625,0,
33.69140625,30.76171875,23.4375,51.7578125,0,
43.45703125,8.30078125,28.80859375,38.57421875,0,
34.66796875,40.0390625,31.25,33.203125,0,
29.78515625,64.453125,37.109375,38.57421875,0,
45.8984375,28.3203125,37.59765625,40.0390625,0,
44.921875,32.2265625,32.2265625,49.31640625,0,
34.1796875,50.78125,19.53125,47.8515625,0,
0.0,50.29296875,18.5546875,51.7578125,0,
0.0,38.57421875,22.4609375,45.8984375,0,
0.0,30.76171875,23.4375,39.0625,0,
0.0,41.50390625,30.2734375,42.96875,0,
0.0,51.26953125,29.296875,43.9453125,0,
0.0,14.16015625,28.3203125,44.921875,0,
0.0,18.5546875,28.3203125,33.69140625,0,
0.0,58.10546875,17.08984375,41.9921875,0,
0.0,50.29296875,10.7421875,56.15234375,0,
0.0,43.9453125,17.578125,57.6171875,0,
0.0,46.38671875,18.06640625,50.78125,0,
0.0,55.17578125,27.83203125,42.96875,0,
31.73828125,38.57421875,46.875,46.38671875,0,
40.52734375,28.3203125,46.875,47.36328125,0,
41.50390625,44.43359375,41.9921875,41.9921875,0,
36.62109375,44.921875,46.38671875,52.24609375,0,
35.64453125,30.76171875,53.7109375,56.640625,0,
32.2265625,19.04296875,39.0625,50.78125,0,
37.59765625,31.25,28.80859375,58.59375,0,
44.921875,56.15234375,37.59765625,58.10546875,0,
27.34375,32.2265625,33.203125,48.33984375,0,
28.3203125,10.7421875,30.76171875,42.96875,0,
28.3203125,59.5703125,39.55078125,34.1796875,0,
20.99609375,64.453125,40.0390625,41.015625,0,
24.4140625,37.59765625,25.87890625,0.0,0,
27.83203125,38.57421875,21.484375,0.0,0,
37.59765625,56.640625,33.69140625,0.0,0,
38.0859375,53.22265625,41.50390625,0.0,0,
27.34375,42.48046875,40.52734375,0.0,0,
31.73828125,41.9921875,37.59765625,0.0,0,
30.2734375,39.0625,32.71484375,0.0,0,
25.390625,53.7109375,30.76171875,0.0,0,
33.69140625,26.85546875,33.203125,0.0,0,
29.296875,17.578125,33.69140625,0.0,0,
24.4140625,67.87109375,39.55078125,0.0,0,
35.64453125,61.5234375,41.50390625,0.0,0,
33.69140625,44.921875,31.73828125,45.8984375,0,
27.83203125,51.7578125,35.15625,33.203125,0,
16.11328125,48.828125,23.4375,30.76171875,0,
12.20703125,37.109375,9.27734375,37.59765625,0,
30.2734375,40.52734375,39.0625,44.43359375,0,
35.64453125,44.43359375,52.734375,41.50390625,0,
31.25,34.66796875,42.96875,38.0859375,0,
34.1796875,28.3203125,38.0859375,46.38671875,0,
42.48046875,27.34375,39.55078125,45.41015625,0,
44.921875,61.5234375,41.015625,41.50390625,0,
42.48046875,71.2890625,39.55078125,45.8984375,0,
40.52734375,41.9921875,44.43359375,41.9921875,0,
42.48046875,36.62109375,42.48046875,41.50390625,0,
44.43359375,52.24609375,30.2734375,49.31640625,0,
37.109375,50.29296875,29.296875,50.29296875,0,
38.0859375,31.73828125,36.62109375,49.31640625,0,
62.98828125,46.875,44.43359375,64.94140625,0,
63.4765625,50.78125,26.85546875,63.4765625,0,
36.1328125,61.5234375,25.87890625,44.43359375,0,
39.0625,40.52734375,44.43359375,45.8984375,0,
35.64453125,30.2734375,27.83203125,40.0390625,0,
17.578125,51.26953125,13.18359375,23.4375,0,
15.625,37.59765625,17.08984375,21.484375,0,
7.8125,58.10546875,24.90234375,16.6015625,0,
-4.8828125,61.5234375,29.78515625,10.25390625,0,
2.9296875,60.05859375,32.71484375,10.7421875,0,
12.6953125,52.734375,33.69140625,7.32421875,0,
1.953125,34.66796875,31.73828125,8.30078125,0,
-1.46484375,33.203125,38.0859375,15.625,0,
11.71875,32.71484375,39.55078125,24.90234375,0,
14.6484375,36.1328125,31.73828125,27.34375,0,
13.671875,24.90234375,28.80859375,23.4375,0,
8.30078125,50.78125,35.64453125,17.578125,0,
12.6953125,75.68359375,41.015625,25.87890625,0,
22.94921875,47.8515625,29.78515625,37.59765625,0,
23.4375,38.0859375,25.390625,33.69140625,0,
0.0,51.26953125,40.52734375,23.4375,0,
0.0,49.31640625,43.9453125,33.203125,0,
0.0,50.29296875,32.71484375,42.48046875,0,
0.0,58.10546875,33.203125,37.59765625,0,
0.0,55.6640625,42.48046875,34.66796875,0,
0.0,45.41015625,43.9453125,28.3203125,0,
0.0,21.484375,45.8984375,29.78515625,0,
0.0,20.5078125,41.015625,25.390625,0,
0.0,65.91796875,39.55078125,23.4375,0,
0.0,52.734375,40.52734375,35.15625,0,
0.0,37.109375,39.0625,38.0859375,0,
0.0,45.8984375,34.1796875,30.76171875,0,
32.2265625,50.78125,13.18359375,34.66796875,0,
25.87890625,43.45703125,27.83203125,38.57421875,0,
18.06640625,38.57421875,49.31640625,31.25,0,
30.2734375,53.22265625,51.7578125,36.1328125,0,
36.62109375,37.109375,53.7109375,39.55078125,0,
29.78515625,14.16015625,40.0390625,40.52734375,0,
31.73828125,7.8125,35.15625,43.9453125,0,
36.1328125,45.41015625,34.66796875,44.43359375,0,
30.76171875,62.98828125,36.1328125,35.64453125,0,
28.80859375,39.55078125,36.1328125,38.57421875,0,
36.1328125,42.96875,35.15625,55.17578125,0,
38.0859375,54.19921875,47.36328125,52.24609375,0,
43.9453125,39.0625,52.734375,49.31640625,0,
40.52734375,25.87890625,26.85546875,40.0390625,0,
27.83203125,46.875,21.484375,40.0390625,0,
42.48046875,55.6640625,38.0859375,48.828125,0,
51.7578125,52.24609375,38.0859375,53.7109375,0,
36.1328125,19.53125,43.45703125,58.59375,0,
26.85546875,16.6015625,40.0390625,41.015625,0,
38.0859375,59.08203125,33.69140625,38.0859375,0,
35.64453125,52.24609375,24.90234375,50.78125,0,
32.71484375,45.41015625,29.78515625,52.734375,0,
38.57421875,51.7578125,36.1328125,52.24609375,0,
44.921875,58.10546875,34.66796875,49.31640625,0,
0.0,58.10546875,41.50390625,49.31640625,0,
0.0,53.22265625,41.9921875,42.48046875,0,
0.0,53.7109375,39.55078125,35.15625,0,
0.0,48.33984375,20.5078125,40.52734375,0,
0.0,37.59765625,27.34375,43.45703125,0,
0.0,25.87890625,41.015625,40.0390625,0,
0.0,32.2265625,30.76171875,43.9453125,0,
0.0,56.640625,41.015625,47.8515625,0,
0.0,42.96875,42.96875,47.8515625,0,
0.0,10.25390625,34.1796875,34.66796875,0,
0.0,43.45703125,39.55078125,27.34375,0,
0.0,63.96484375,41.50390625,42.96875,0,
19.04296875,45.8984375,31.25,49.31640625,0,
24.4140625,51.26953125,35.64453125,45.41015625,0,
32.2265625,60.05859375,39.0625,40.0390625,0,
39.55078125,51.7578125,37.59765625,48.33984375,0,
34.1796875,28.3203125,41.015625,42.96875,0,
32.2265625,16.11328125,17.578125,37.59765625,0,
44.43359375,32.71484375,10.25390625,53.22265625,0,
42.48046875,55.17578125,36.62109375,50.78125,0,
46.875,15.13671875,53.22265625,51.7578125,0,
46.38671875,23.4375,45.8984375,56.640625,0,
40.0390625,75.68359375,41.015625,46.38671875,0,
37.59765625,60.05859375,51.7578125,47.36328125,0,
47.36328125,38.57421875,45.41015625,44.43359375,0,
46.38671875,40.0390625,30.76171875,37.109375,0,
37.59765625,60.05859375,38.57421875,49.31640625,0,
50.78125,60.05859375,48.33984375,58.59375,0,
51.26953125,48.33984375,34.66796875,55.6640625,0,
48.33984375,37.59765625,39.55078125,56.15234375,0,
50.78125,43.45703125,33.203125,50.29296875,0,
40.0390625,43.9453125,28.80859375,47.36328125,0,
32.2265625,12.20703125,47.8515625,49.31640625,0,
27.83203125,47.8515625,43.9453125,41.9921875,0,
30.76171875,76.171875,41.015625,37.109375,0,
31.73828125,43.9453125,32.71484375,34.1796875,0,
27.34375,33.69140625,33.203125,40.0390625,0,
32.71484375,56.640625,45.8984375,46.38671875,0,
41.50390625,53.22265625,47.36328125,57.12890625,0,
40.0390625,36.62109375,38.57421875,50.78125,0,
32.71484375,40.0390625,28.80859375,41.9921875,0,
34.1796875,35.64453125,29.296875,44.43359375,0,
40.0390625,41.015625,42.96875,45.8984375,0,
41.015625,13.18359375,39.55078125,46.875,0,
