Channel 1,Channel 2,Channel 3,Channel 4,Class,CalNum
48.33984375,50.29296875,44.921875,68.84765625,1,30.0
54.6875,48.828125,41.9921875,76.66015625,0,15.0
26.85546875,45.8984375,42.48046875,31.25,0,
10.7421875,47.36328125,39.55078125,4.8828125,0,
34.66796875,45.41015625,39.55078125,12.6953125,0,
38.57421875,41.50390625,44.921875,38.57421875,0,
29.296875,42.96875,45.8984375,38.57421875,0,
24.4140625,44.921875,46.38671875,27.34375,0,
21.484375,40.52734375,46.875,49.31640625,0,
33.203125,34.1796875,45.8984375,58.10546875,0,
38.0859375,36.1328125,42.48046875,44.921875,0,
18.06640625,36.62109375,41.50390625,42.48046875,0,
4.39453125,30.76171875,46.38671875,30.2734375,0,
25.390625,33.69140625,46.38671875,41.50390625,0,
30.76171875,39.0625,41.9921875,33.69140625,0,
12.20703125,39.55078125,41.9921875,5.859375,0,
9.765625,34.66796875,42.96875,19.53125,0,
26.85546875,30.76171875,45.41015625,42.96875,0,
27.34375,30.76171875,48.33984375,39.55078125,0,
0.0,26.85546875,49.31640625,31.25,0,
-9.27734375,27.83203125,45.8984375,47.8515625,0,
3.90625,32.71484375,45.8984375,26.3671875,0,
16.6015625,32.2265625,46.38671875,-23.92578125,0,
7.32421875,29.78515625,43.45703125,0.0,0,
1.953125,33.69140625,41.50390625,57.6171875,0,
21.484375,36.1328125,41.015625,44.921875,0,
27.83203125,34.1796875,39.0625,-0.9765625,0,
16.6015625,32.2265625,39.55078125,2.44140625,0,
12.20703125,33.203125,42.96875,50.78125,0,
17.578125,33.203125,43.9453125,69.3359375,0,
24.90234375,32.71484375,42.48046875,24.90234375,0,
9.27734375,31.73828125,43.45703125,-11.71875,0,
-5.37109375,27.83203125,46.38671875,35.64453125,0,
5.859375,28.3203125,46.875,85.9375,0,
15.13671875,37.59765625,42.96875,31.73828125,0,
5.37109375,42.96875,42.48046875,-20.5078125,0,
7.32421875,32.2265625,45.8984375,26.3671875,0,
21.484375,28.3203125,45.41015625,104.98046875,0,
5.859375,30.76171875,44.921875,80.56640625,0,
14.16015625,33.203125,48.33984375,17.08984375,0,
33.203125,36.62109375,50.78125,46.38671875,0,
26.3671875,37.109375,44.43359375,112.79296875,0,
28.80859375,40.52734375,35.64453125,103.515625,0,
19.53125,38.0859375,39.55078125,33.69140625,0,
5.37109375,38.0859375,46.38671875,16.11328125,0,
21.97265625,42.48046875,49.31640625,71.2890625,0,
46.38671875,43.45703125,50.78125,121.58203125,0,
40.52734375,39.55078125,51.26953125,74.21875,0,
30.2734375,41.50390625,49.31640625,15.13671875,0,
27.83203125,45.41015625,44.921875,51.26953125,0,
36.62109375,43.45703125,42.96875,103.02734375,0,
43.45703125,46.875,43.9453125,67.3828125,0,
41.015625,49.31640625,46.38671875,15.625,0,
46.38671875,48.33984375,45.8984375,58.59375,0,
46.875,46.875,42.48046875,104.4921875,0,
46.38671875,48.33984375,41.50390625,69.82421875,0,
53.7109375,52.734375,45.41015625,8.30078125,0,
53.22265625,51.26953125,48.33984375,12.6953125,0,
56.15234375,53.22265625,47.8515625,84.9609375,0,
59.08203125,55.17578125,46.875,83.984375,0,
72.75390625,50.29296875,48.828125,30.2734375,0,
82.03125,57.6171875,48.828125,18.06640625,0,
54.6875,64.94140625,49.8046875,59.5703125,0,
27.83203125,57.12890625,56.15234375,79.1015625,0,
16.11328125,53.22265625,53.22265625,10.25390625,0,
-6.34765625,51.7578125,49.8046875,-54.19921875,0,
-20.01953125,50.78125,47.8515625,-28.3203125,0,
-20.01953125,54.19921875,46.38671875,16.6015625,0,
-25.390625,53.7109375,49.31640625,-34.66796875,0,
-26.85546875,45.8984375,49.8046875,-94.7265625,0,
-23.4375,43.45703125,45.41015625,-73.2421875,0,
-9.765625,41.9921875,48.33984375,-4.8828125,0,
-18.06640625,36.1328125,54.19921875,-9.27734375,0,
-13.18359375,40.0390625,51.7578125,-70.80078125,0,
-3.90625,44.43359375,49.31640625,-64.453125,0,
-2.9296875,39.55078125,50.78125,3.41796875,0,
2.44140625,37.59765625,53.22265625,20.99609375,0,
7.8125,42.48046875,52.734375,-33.69140625,0,
5.37109375,41.015625,52.24609375,-58.10546875,0,
3.41796875,38.0859375,52.734375,-9.765625,0,
13.18359375,38.57421875,55.6640625,24.90234375,0,
16.11328125,41.50390625,56.15234375,-16.11328125,0,
22.4609375,43.45703125,55.17578125,-54.19921875,0,
34.1796875,40.0390625,55.6640625,0.0,0,
24.90234375,35.64453125,53.7109375,58.59375,0,
20.01953125,36.1328125,49.31640625,18.5546875,0,
13.671875,37.59765625,47.8515625,-44.921875,0,
14.16015625,38.57421875,46.875,-20.99609375,0,
32.71484375,41.50390625,44.921875,44.43359375,0,
26.3671875,44.921875,46.875,36.1328125,0,
23.4375,45.41015625,48.828125,-31.25,0,
27.34375,43.45703125,48.828125,-44.43359375,0,
27.34375,43.9453125,48.828125,19.53125,0,
28.80859375,44.921875,49.31640625,46.875,0,
32.2265625,44.921875,50.78125,-2.44140625,0,
30.76171875,45.41015625,51.7578125,-30.76171875,0,
26.3671875,43.45703125,57.6171875,32.71484375,0,
15.625,40.0390625,61.03515625,86.9140625,0,
9.27734375,41.50390625,60.05859375,39.0625,0,
23.4375,41.015625,58.59375,-11.23046875,0,
41.50390625,38.0859375,57.6171875,44.43359375,0,
26.3671875,37.109375,56.15234375,85.9375,0,
10.7421875,40.0390625,54.6875,44.43359375,0,
32.71484375,38.0859375,59.08203125,14.6484375,0,
39.0625,32.2265625,59.5703125,28.3203125,0,
25.87890625,34.66796875,54.19921875,77.63671875,0,
43.9453125,37.109375,55.17578125,79.1015625,0,
28.3203125,33.69140625,58.59375,11.71875,0,
10.25390625,35.15625,56.15234375,-6.8359375,0,
53.7109375,40.52734375,53.22265625,56.15234375,0,
46.875,46.875,55.17578125,78.61328125,0,
20.99609375,45.41015625,58.59375,-3.41796875,0,
17.08984375,38.0859375,52.734375,-55.17578125,0,
24.90234375,37.109375,50.78125,9.765625,0,
29.296875,40.52734375,57.12890625,62.5,0,
13.671875,30.2734375,57.6171875,8.30078125,0,
17.08984375,23.92578125,54.6875,-39.55078125,0,
16.11328125,36.1328125,54.6875,-16.11328125,0,
-9.765625,37.109375,54.19921875,9.27734375,0,
-13.18359375,30.2734375,54.6875,-2.9296875,0,
-30.2734375,31.73828125,51.7578125,-79.58984375,0,
-36.62109375,38.0859375,47.36328125,-99.609375,0,
-19.53125,37.109375,44.921875,-20.5078125,0,
-32.71484375,36.1328125,46.38671875,-13.18359375,0,
-38.0859375,29.78515625,55.6640625,-83.49609375,0,
-22.4609375,25.87890625,51.7578125,-89.84375,0,
-17.08984375,30.76171875,45.8984375,-32.71484375,0,
-6.34765625,30.76171875,48.33984375,10.7421875,0,
12.20703125,28.3203125,53.7109375,-26.3671875,0,
11.23046875,31.73828125,50.29296875,-62.5,0,
8.30078125,32.71484375,46.875,0.9765625,0,
9.27734375,27.83203125,48.828125,52.734375,0,
9.765625,31.25,37.59765625,14.6484375,0,
11.23046875,35.15625,38.57421875,-21.484375,0,
14.16015625,30.2734375,43.9453125,15.625,0,
0.0,27.34375,43.9453125,76.171875,0,
17.578125,29.78515625,49.8046875,74.70703125,0,
43.45703125,30.76171875,49.8046875,27.83203125,0,
33.203125,35.64453125,39.0625,25.87890625,0,
29.296875,34.1796875,37.109375,107.421875,0,
24.4140625,37.109375,44.921875,109.86328125,0,
38.57421875,39.55078125,45.41015625,50.78125,0,
50.78125,28.3203125,43.9453125,48.828125,0,
34.1796875,27.34375,43.45703125,95.703125,0,
38.0859375,26.3671875,48.828125,142.08984375,0,
61.03515625,31.25,56.15234375,108.3984375,0,
64.453125,37.59765625,51.7578125,62.5,0,
65.4296875,35.15625,48.33984375,107.421875,0,
61.03515625,36.62109375,50.29296875,153.80859375,0,
62.98828125,37.59765625,48.828125,107.91015625,0,
66.40625,38.0859375,48.33984375,60.05859375,0,
60.05859375,36.62109375,47.8515625,91.30859375,0,
73.2421875,39.0625,43.45703125,137.6953125,0,
76.171875,41.50390625,45.41015625,114.74609375,0,
65.91796875,37.59765625,47.8515625,59.08203125,0,
55.17578125,38.0859375,48.828125,57.6171875,0,
50.78125,38.57421875,53.22265625,121.09375,0,
62.01171875,33.203125,50.78125,133.7890625,0,
63.96484375,29.78515625,47.36328125,75.1953125,0,
70.3125,35.15625,49.31640625,47.8515625,0,
76.171875,37.59765625,52.734375,103.02734375,0,
57.12890625,35.64453125,53.7109375,132.32421875,0,
44.43359375,36.62109375,57.12890625,71.2890625,0,
47.8515625,34.66796875,57.6171875,23.92578125,0,
38.0859375,30.76171875,56.640625,46.38671875,0,
39.55078125,29.296875,58.59375,94.23828125,0,
46.875,27.34375,55.17578125,73.2421875,0,
47.36328125,25.390625,53.7109375,19.53125,0,
47.8515625,29.296875,54.19921875,33.203125,0,
38.57421875,35.64453125,47.8515625,76.171875,0,
35.64453125,36.1328125,43.45703125,61.5234375,0,
45.8984375,35.15625,47.36328125,10.25390625,0,
31.73828125,28.80859375,50.29296875,3.90625,0,
16.11328125,24.4140625,50.29296875,59.5703125,0,
19.04296875,24.4140625,51.26953125,64.94140625,0,
19.04296875,27.34375,47.36328125,-13.671875,0,
24.4140625,32.71484375,48.33984375,-42.96875,0,
20.01953125,32.71484375,53.7109375,22.94921875,0,
19.04296875,30.76171875,50.78125,60.05859375,0,
21.484375,28.80859375,48.33984375,11.23046875,0,
8.7890625,28.3203125,47.8515625,-45.41015625,0,
5.859375,26.85546875,50.29296875,-7.8125,0,
7.8125,28.3203125,52.734375,59.5703125,0,
9.27734375,27.34375,51.26953125,31.25,0,
22.4609375,26.3671875,47.36328125,-20.99609375,0,
36.1328125,30.2734375,47.36328125,-2.44140625,0,
26.85546875,31.73828125,47.8515625,44.43359375,0,
19.53125,27.83203125,53.22265625,40.0390625,0,
22.4609375,20.99609375,54.19921875,-4.8828125,0,
