Channel 1,Channel 2,Channel 3,Channel 4,Class,CalNum
-84.47265625,38.0859375,61.03515625,-71.2890625,0,15
125.0,45.8984375,59.08203125,-17.578125,0,24
376.46484375,46.38671875,57.6171875,35.64453125,0,
201.66015625,39.0625,34.66796875,-2.44140625,0,
-84.9609375,31.25,14.6484375,-82.51953125,0,
50.78125,38.0859375,7.32421875,-77.63671875,0,
329.58984375,53.7109375,0.9765625,-3.90625,0,
272.4609375,43.9453125,-13.18359375,-6.34765625,0,
19.53125,35.15625,-19.53125,-55.6640625,0,
-18.5546875,44.43359375,-7.32421875,-69.82421875,0,
274.90234375,57.12890625,-5.37109375,-38.57421875,0,
376.46484375,62.98828125,-2.44140625,-21.484375,0,
69.82421875,54.19921875,-2.44140625,-45.41015625,0,
-90.8203125,44.43359375,-15.13671875,-50.29296875,0,
179.6875,37.59765625,-20.5078125,-8.7890625,0,
350.09765625,36.1328125,-25.390625,-6.34765625,0,
104.00390625,29.296875,-36.1328125,-44.43359375,0,
-96.19140625,28.80859375,-44.921875,-70.80078125,0,
80.56640625,30.2734375,-36.62109375,-38.57421875,0,
312.01171875,31.73828125,-24.90234375,6.34765625,0,
123.046875,34.1796875,-2.9296875,-34.66796875,0,
-148.4375,36.62109375,-4.39453125,-60.546875,0,
1.46484375,49.8046875,-16.11328125,-30.2734375,0,
293.9453125,49.8046875,-2.44140625,1.46484375,0,
280.76171875,45.8984375,-0.48828125,19.53125,0,
-54.6875,33.69140625,-4.8828125,-8.30078125,0,
-127.9296875,31.73828125,0.0,-26.3671875,0,
199.70703125,49.8046875,14.6484375,34.1796875,0,
332.03125,45.41015625,19.53125,67.3828125,0,
52.734375,26.85546875,8.7890625,16.6015625,0,
-127.44140625,32.2265625,-7.32421875,-40.0390625,0,
109.375,62.5,13.18359375,-3.90625,0,
297.8515625,77.1484375,38.57421875,58.59375,0,
70.80078125,51.7578125,26.3671875,22.94921875,0,
-183.10546875,41.015625,29.78515625,-23.4375,0,
1.46484375,57.12890625,22.4609375,20.99609375,0,
263.18359375,49.8046875,26.3671875,50.78125,0,
105.46875,32.71484375,32.2265625,14.6484375,0,
-196.2890625,30.76171875,15.625,-13.18359375,0,
-131.34765625,51.26953125,29.296875,17.578125,0,
184.08203125,61.03515625,47.8515625,101.07421875,0,
198.73046875,47.36328125,33.69140625,106.93359375,0,
-110.83984375,31.73828125,11.23046875,56.15234375,0,
-194.3359375,45.41015625,29.296875,45.41015625,0,
88.8671875,58.59375,49.31640625,67.3828125,0,
210.9375,54.19921875,41.015625,78.61328125,0,
-55.17578125,52.24609375,30.76171875,31.73828125,0,
-237.3046875,50.78125,39.55078125,15.13671875,0,
-3.90625,49.31640625,51.26953125,71.77734375,0,
211.42578125,43.45703125,59.08203125,118.65234375,0,
15.13671875,32.71484375,47.8515625,86.42578125,0,
-234.86328125,36.62109375,41.9921875,27.83203125,0,
-87.40234375,47.8515625,59.08203125,43.45703125,0,
203.125,55.17578125,75.1953125,113.76953125,0,
135.7421875,54.19921875,74.70703125,122.0703125,0,
-168.45703125,40.52734375,58.10546875,61.5234375,0,
-189.94140625,26.3671875,48.33984375,33.203125,0,
87.890625,19.04296875,49.31640625,70.3125,0,
151.85546875,32.71484375,60.05859375,88.8671875,0,
-107.421875,30.76171875,60.05859375,58.10546875,0,
-217.7734375,23.4375,36.1328125,18.06640625,0,
29.78515625,33.203125,40.52734375,58.59375,0,
186.5234375,39.0625,50.78125,91.796875,0,
-51.26953125,26.3671875,54.19921875,75.68359375,0,
-243.1640625,20.01953125,51.26953125,55.6640625,0,
-15.625,41.9921875,46.38671875,48.33984375,0,
208.984375,46.875,46.875,46.38671875,0,
0.48828125,38.57421875,43.45703125,20.99609375,0,
-277.34375,35.64453125,48.33984375,-4.8828125,0,
-137.6953125,35.64453125,67.3828125,19.04296875,0,
143.5546875,55.6640625,75.1953125,39.55078125,0,
65.4296875,48.33984375,47.8515625,15.13671875,0,
-230.46875,26.85546875,31.25,-34.66796875,0,
-246.58203125,22.94921875,47.8515625,-36.62109375,0,
69.82421875,46.38671875,80.078125,27.83203125,0,
192.87109375,62.5,95.703125,62.01171875,0,
-81.0546875,42.96875,77.1484375,27.83203125,0,
-237.79296875,28.80859375,62.5,-2.9296875,0,
20.5078125,26.85546875,76.66015625,20.5078125,0,
209.47265625,48.828125,93.75,68.359375,0,
-18.06640625,53.7109375,78.61328125,66.40625,0,
-208.984375,51.7578125,70.80078125,41.015625,0,
3.90625,55.17578125,79.58984375,55.6640625,0,
220.703125,27.83203125,58.10546875,50.78125,0,
