Channel 1,Channel 2,Channel 3,Channel 4,Classification
44.921875,73.2421875,101.5625,110.83984375,0
79.1015625,71.2890625,105.46875,129.39453125,0
137.6953125,71.2890625,115.72265625,177.734375,0
124.0234375,69.82421875,112.79296875,188.4765625,0
66.40625,51.26953125,107.421875,137.20703125,0
70.3125,49.8046875,107.421875,126.953125,0
127.9296875,62.5,108.3984375,166.015625,0
151.3671875,56.15234375,98.14453125,180.6640625,0
94.23828125,51.26953125,94.7265625,152.83203125,0
63.4765625,59.5703125,101.07421875,122.55859375,0
125.0,73.73046875,109.375,160.15625,0
154.78515625,85.44921875,104.00390625,196.2890625,0
115.234375,82.03125,93.75,166.9921875,0
70.3125,69.3359375,96.19140625,127.9296875,0
111.328125,63.4765625,92.7734375,165.52734375,0
156.25,63.96484375,93.26171875,206.0546875,0
148.4375,79.58984375,91.796875,183.10546875,0
83.49609375,85.44921875,89.84375,123.53515625,0
98.14453125,74.21875,85.9375,122.0703125,0
145.5078125,68.359375,88.8671875,171.875,0
135.25390625,58.10546875,91.30859375,183.59375,0
82.51953125,53.22265625,90.33203125,127.44140625,0
83.49609375,62.98828125,87.40234375,105.46875,0
147.94921875,62.5,83.984375,162.109375,0
169.43359375,56.15234375,81.54296875,183.59375,0
98.14453125,35.64453125,75.1953125,135.7421875,0
62.98828125,27.83203125,77.63671875,105.95703125,0
127.44140625,50.78125,75.68359375,139.6484375,0
144.53125,45.41015625,70.3125,179.19921875,0
96.6796875,20.01953125,69.82421875,160.64453125,0
58.59375,18.5546875,65.91796875,107.91015625,0
112.3046875,35.15625,72.75390625,134.765625,0
145.99609375,34.1796875,82.51953125,181.15234375,0
118.65234375,25.87890625,83.49609375,162.109375,0
65.4296875,21.484375,77.63671875,119.62890625,0
84.9609375,10.25390625,70.80078125,129.8828125,0
142.08984375,25.87890625,67.3828125,161.1328125,0
148.92578125,43.9453125,65.4296875,165.52734375,0
81.0546875,27.34375,64.453125,122.0703125,0
64.453125,11.71875,61.03515625,104.4921875,0
139.16015625,7.32421875,52.734375,143.5546875,0
142.578125,-10.7421875,51.7578125,169.43359375,0
99.12109375,-12.20703125,57.6171875,131.34765625,0
68.84765625,22.4609375,58.10546875,93.26171875,0
103.02734375,33.203125,50.78125,125.9765625,0
164.55078125,27.83203125,51.26953125,150.390625,0
133.7890625,32.2265625,63.4765625,145.5078125,0
67.3828125,7.32421875,66.40625,111.328125,0
97.65625,15.625,62.01171875,123.046875,0
182.12890625,52.734375,64.453125,175.78125,0
163.0859375,49.31640625,65.4296875,172.8515625,0
62.01171875,36.62109375,67.3828125,117.1875,0
85.9375,24.90234375,76.66015625,111.328125,0
150.87890625,20.5078125,79.1015625,151.85546875,0
167.96875,28.80859375,75.1953125,159.66796875,0
117.67578125,29.78515625,76.66015625,117.67578125,0
100.5859375,6.8359375,62.98828125,82.03125,0
146.484375,11.23046875,59.08203125,112.3046875,0
171.38671875,46.875,71.2890625,155.76171875,0
133.30078125,52.24609375,79.58984375,130.859375,0
69.82421875,43.9453125,80.56640625,89.35546875,0
102.5390625,46.38671875,71.77734375,123.046875,0
145.99609375,59.08203125,70.80078125,175.29296875,0
118.65234375,58.59375,71.2890625,165.0390625,0
