Channel 1,Channel 2,Channel 3,Channel 4,Classification
-87.40234375,53.22265625,-4.39453125,-77.1484375,0
-72.75390625,40.0390625,4.8828125,-83.49609375,0
-23.92578125,33.69140625,18.5546875,-57.12890625,0
-39.55078125,47.36328125,22.4609375,-50.29296875,0
-93.26171875,52.734375,25.390625,-75.1953125,0
-102.05078125,56.640625,30.76171875,-86.42578125,0
-48.33984375,48.828125,26.85546875,-61.5234375,0
-34.66796875,41.9921875,10.7421875,-56.15234375,0
-61.03515625,48.33984375,6.34765625,-63.4765625,0
-68.84765625,46.875,7.8125,-53.7109375,0
-20.01953125,45.8984375,10.7421875,-25.390625,0
28.80859375,44.921875,13.671875,-7.32421875,0
10.7421875,41.50390625,15.13671875,-5.859375,0
-19.04296875,38.0859375,9.765625,-8.30078125,0
13.671875,41.50390625,3.90625,9.27734375,0
62.01171875,50.78125,3.41796875,23.92578125,0
44.921875,46.875,11.23046875,20.99609375,0
0.0,36.1328125,20.99609375,5.859375,0
14.16015625,43.45703125,20.99609375,11.71875,0
74.70703125,56.15234375,19.04296875,48.33984375,0
68.84765625,51.26953125,23.4375,41.015625,0
20.01953125,47.36328125,25.87890625,18.5546875,0
8.30078125,44.43359375,25.390625,18.06640625,0
49.8046875,47.36328125,24.4140625,28.80859375,0
70.80078125,45.8984375,18.5546875,31.73828125,0
14.6484375,38.0859375,13.671875,20.01953125,0
-13.671875,31.25,19.04296875,14.16015625,0
33.69140625,35.64453125,25.390625,25.87890625,0
83.0078125,39.55078125,30.76171875,51.26953125,0
54.19921875,30.76171875,34.1796875,52.734375,0
14.16015625,39.0625,38.0859375,39.0625,0
44.921875,44.921875,37.109375,55.6640625,0
87.890625,28.3203125,25.390625,64.453125,0
57.12890625,21.97265625,12.20703125,53.22265625,0
18.06640625,46.875,9.765625,32.2265625,0
42.96875,73.73046875,21.97265625,37.109375,0
61.03515625,61.03515625,15.625,51.7578125,0
65.91796875,51.7578125,18.5546875,61.03515625,0
56.640625,51.26953125,33.69140625,64.94140625,0
34.66796875,35.64453125,23.92578125,49.31640625,0
50.29296875,36.1328125,25.87890625,39.0625,0
67.3828125,37.109375,20.01953125,42.96875,0
63.96484375,65.4296875,23.4375,60.546875,0
38.0859375,85.9375,29.78515625,48.33984375,0
34.1796875,25.87890625,17.08984375,22.4609375,0
49.8046875,-3.41796875,21.484375,16.6015625,0
34.66796875,-12.6953125,26.85546875,18.06640625,0
-2.44140625,5.859375,23.4375,11.71875,0
9.765625,30.76171875,20.01953125,24.90234375,0
60.546875,43.9453125,18.06640625,59.08203125,0
56.640625,38.0859375,16.6015625,53.22265625,0
1.46484375,31.73828125,18.5546875,30.2734375,0
6.34765625,40.52734375,21.484375,40.52734375,0
71.2890625,39.55078125,23.4375,54.19921875,0
77.1484375,29.78515625,16.6015625,51.7578125,0
18.06640625,27.34375,14.6484375,29.78515625,0
-1.953125,21.97265625,10.7421875,21.97265625,0
42.48046875,28.80859375,4.8828125,47.36328125,0
76.66015625,38.0859375,19.04296875,61.5234375,0
47.36328125,27.34375,37.59765625,55.6640625,0
8.30078125,19.53125,32.71484375,47.8515625,0
20.5078125,26.3671875,18.5546875,44.921875,0
75.68359375,45.41015625,20.99609375,55.6640625,0
67.87109375,64.453125,22.94921875,53.7109375,0
9.765625,48.33984375,25.87890625,31.73828125,0
24.4140625,25.390625,26.3671875,24.90234375,0
79.58984375,35.15625,27.83203125,58.59375,0
81.0546875,39.0625,32.2265625,65.4296875,0
25.390625,38.0859375,19.04296875,32.2265625,0
8.7890625,32.71484375,17.578125,30.76171875,0
54.6875,26.85546875,25.390625,41.9921875,0
71.2890625,28.3203125,21.97265625,48.828125,0
21.97265625,31.73828125,14.6484375,39.55078125,0
9.27734375,28.3203125,14.6484375,34.1796875,0
58.59375,27.34375,11.23046875,41.015625,0
81.54296875,27.34375,10.25390625,51.26953125,0
39.55078125,22.94921875,13.18359375,37.109375,0
-1.46484375,25.87890625,8.7890625,25.87890625,0
28.80859375,30.76171875,8.7890625,37.109375,0
72.75390625,33.69140625,14.16015625,46.875,0
51.26953125,23.92578125,13.671875,44.921875,0
12.20703125,28.3203125,17.08984375,46.38671875,0
29.78515625,37.59765625,17.08984375,47.36328125,0
71.2890625,19.04296875,9.765625,46.875,0
66.89453125,21.484375,20.99609375,53.7109375,0
11.71875,28.3203125,16.6015625,45.41015625,0
2.44140625,11.71875,-3.41796875,33.69140625,0
58.59375,19.04296875,5.37109375,43.45703125,0
67.3828125,26.3671875,13.671875,51.26953125,0
12.6953125,22.4609375,12.20703125,32.2265625,0
-17.08984375,24.4140625,12.20703125,15.13671875,0
25.390625,17.08984375,15.625,34.1796875,0
71.77734375,18.06640625,18.06640625,58.59375,0
38.57421875,21.97265625,17.08984375,54.19921875,0
-5.37109375,19.04296875,18.5546875,36.62109375,0
15.13671875,19.53125,15.13671875,33.69140625,0
66.89453125,20.01953125,9.27734375,52.734375,0
66.89453125,27.34375,13.18359375,60.546875,0
17.08984375,37.109375,15.13671875,37.59765625,0
11.23046875,24.4140625,14.16015625,24.4140625,0
66.89453125,11.71875,20.99609375,53.7109375,0
83.984375,29.78515625,28.3203125,77.1484375,0
27.83203125,43.45703125,18.06640625,53.7109375,0
2.9296875,45.41015625,12.20703125,25.390625,0
44.43359375,40.0390625,14.6484375,42.48046875,0
73.2421875,37.109375,9.765625,66.40625,0
40.52734375,34.66796875,11.71875,56.640625,0
10.25390625,29.296875,19.53125,40.0390625,0
36.1328125,27.34375,20.99609375,41.9921875,0
75.1953125,24.4140625,18.5546875,61.5234375,0
64.94140625,27.34375,17.08984375,61.5234375,0
12.6953125,29.78515625,17.578125,43.45703125,0
15.625,23.4375,22.94921875,36.1328125,0
63.4765625,20.01953125,17.08984375,55.17578125,0
60.05859375,26.3671875,10.7421875,68.359375,0
13.671875,24.4140625,14.16015625,44.921875,0
4.8828125,21.484375,11.71875,30.2734375,0
47.8515625,27.83203125,6.8359375,38.0859375,0
63.4765625,36.62109375,11.23046875,44.43359375,0
29.296875,38.57421875,8.7890625,48.33984375,0
21.97265625,32.71484375,13.18359375,51.26953125,0
44.921875,31.25,31.73828125,53.22265625,0
42.96875,25.390625,26.85546875,35.64453125,0
25.390625,20.01953125,11.71875,28.80859375,0
11.71875,21.484375,13.18359375,43.45703125,0
20.01953125,25.390625,12.6953125,37.59765625,0
32.71484375,24.4140625,10.7421875,30.76171875,0
37.109375,27.34375,16.11328125,45.8984375,0
20.01953125,35.15625,16.11328125,40.0390625,0
5.37109375,32.2265625,15.625,13.671875,0
15.13671875,25.390625,21.97265625,4.39453125,0
11.23046875,28.80859375,18.06640625,8.30078125,0
2.44140625,35.15625,14.6484375,12.6953125,0
-10.7421875,38.0859375,15.625,0.0,0
0.9765625,34.66796875,13.18359375,-9.27734375,0
13.18359375,32.71484375,15.13671875,-1.953125,0
-3.41796875,38.57421875,24.90234375,12.6953125,0
-1.953125,34.66796875,33.69140625,12.6953125,0
22.94921875,29.78515625,28.3203125,2.9296875,0
33.69140625,40.0390625,26.3671875,12.6953125,0
20.99609375,42.96875,32.2265625,23.4375,0
14.16015625,35.15625,29.296875,29.78515625,0
18.5546875,36.62109375,28.80859375,17.578125,0
26.85546875,30.2734375,23.92578125,9.765625,0
28.80859375,17.08984375,23.4375,31.73828125,0
34.1796875,27.83203125,21.484375,38.57421875,0
41.9921875,43.9453125,23.4375,43.9453125,0
49.8046875,41.015625,29.78515625,39.55078125,0
58.10546875,32.71484375,28.3203125,32.71484375,0
55.17578125,26.3671875,25.87890625,37.59765625,0
51.7578125,27.83203125,23.92578125,32.2265625,0
61.5234375,25.390625,24.4140625,33.203125,0
67.87109375,26.85546875,24.90234375,41.50390625,0
58.59375,45.41015625,31.25,59.5703125,0
51.26953125,48.33984375,35.64453125,66.40625,0
67.3828125,41.50390625,37.109375,58.10546875,0
81.54296875,30.2734375,37.59765625,57.12890625,0
79.58984375,25.87890625,35.15625,57.12890625,0
72.265625,34.66796875,31.73828125,58.59375,0
78.61328125,39.0625,37.59765625,70.80078125,0
92.7734375,44.43359375,49.31640625,70.3125,0
85.44921875,40.0390625,42.48046875,66.89453125,0
60.05859375,29.78515625,33.203125,67.3828125,0
47.8515625,22.94921875,34.66796875,42.48046875,0
59.08203125,20.5078125,32.71484375,38.57421875,0
62.01171875,30.2734375,37.109375,52.734375,0
50.78125,31.25,45.41015625,59.08203125,0
45.41015625,22.4609375,33.203125,53.22265625,0
56.15234375,20.99609375,27.83203125,39.0625,0
61.5234375,26.3671875,36.62109375,43.9453125,0
49.8046875,27.34375,46.875,55.6640625,0
45.8984375,25.390625,49.8046875,53.7109375,0
47.36328125,19.53125,45.41015625,37.109375,0
46.875,16.11328125,43.9453125,33.203125,0
34.66796875,19.53125,42.96875,45.41015625,0
30.2734375,31.25,44.921875,50.29296875,0
35.15625,38.0859375,54.6875,46.875,0
36.1328125,32.2265625,46.875,36.62109375,0
27.83203125,24.4140625,40.52734375,33.203125,0
11.71875,21.484375,50.29296875,42.96875,0
12.6953125,21.484375,55.6640625,45.8984375,0
23.4375,17.578125,61.5234375,33.203125,0
40.0390625,11.71875,72.265625,31.73828125,0
37.109375,8.30078125,69.82421875,41.015625,0
21.484375,15.13671875,63.4765625,33.69140625,0
22.4609375,28.80859375,60.05859375,22.94921875,0
37.109375,37.59765625,51.7578125,22.94921875,0
32.2265625,28.80859375,51.26953125,29.296875,0
23.92578125,17.08984375,63.96484375,37.59765625,0
30.2734375,15.13671875,62.98828125,32.71484375,0
32.71484375,13.671875,53.7109375,28.80859375,0
36.62109375,20.99609375,62.5,56.15234375,0
30.2734375,26.3671875,68.84765625,68.359375,0
22.4609375,25.390625,55.17578125,42.96875,0
33.69140625,28.3203125,46.38671875,20.01953125,0
40.0390625,26.85546875,45.41015625,18.5546875,0
34.1796875,20.99609375,49.31640625,40.0390625,0
40.0390625,26.3671875,49.31640625,48.33984375,0
53.7109375,32.2265625,43.9453125,32.2265625,0
62.01171875,22.94921875,50.29296875,35.15625,0
54.6875,24.4140625,60.05859375,52.734375,0
48.828125,40.52734375,61.03515625,60.546875,0
62.98828125,41.50390625,52.734375,52.734375,0
73.73046875,39.55078125,46.38671875,45.41015625,0
57.6171875,35.64453125,44.921875,49.8046875,0
50.78125,20.99609375,38.57421875,53.7109375,0
57.6171875,23.4375,37.59765625,49.31640625,0
52.24609375,32.71484375,36.62109375,31.73828125,0
37.109375,34.1796875,31.73828125,25.390625,0
29.296875,42.48046875,35.64453125,35.15625,0
30.76171875,46.38671875,37.59765625,35.15625,0
38.0859375,38.0859375,36.1328125,37.109375,0
41.50390625,31.73828125,39.0625,35.64453125,0
33.203125,31.25,42.48046875,31.73828125,0
29.78515625,39.55078125,38.0859375,39.55078125,0
49.31640625,52.24609375,33.69140625,42.96875,0
59.5703125,51.26953125,33.69140625,38.0859375,0
46.38671875,32.71484375,35.15625,41.015625,0
37.59765625,19.53125,32.2265625,37.59765625,0
47.8515625,29.78515625,21.97265625,33.203125,0
56.640625,41.50390625,20.99609375,35.64453125,0
41.50390625,28.3203125,23.4375,37.59765625,0
32.2265625,25.87890625,23.92578125,45.8984375,0
